Date,Open,High,Low,Close
1994-03-06,2.5390625,2.6015625,2.515625,2.5390625
1994-03-13,2.5390625,2.5703125,2.4921875,2.578125
1994-03-20,2.578125,2.6640625,2.5703125,2.65625
1994-03-27,2.65625,2.7890625,2.5703125,2.734375
1994-04-03,2.734375,2.75,2.578125,2.578125
1994-04-10,2.578125,2.81640625,2.5625,2.71875
1994-04-17,2.71875,2.7265625,2.59375,2.6484375
1994-04-24,2.6484375,2.8984375,2.5703125,2.875
1994-05-01,2.875,2.9765625,2.8515625,2.8984375
1994-05-08,2.8984375,3.0078125,2.83984375,2.8671875
1994-05-15,2.8671875,3.0546875,2.86328125,3.0078125
1994-05-22,3.0078125,3.1015625,2.921875,3.0625
1994-05-29,3.0625,3.296875,3.03125,3.265625
1994-06-05,3.265625,3.36035,3.2421875,3.2890625
1994-06-12,3.2890625,3.4140625,3.2265625,3.2890625
1994-06-19,3.2890625,3.4140625,3.2421875,3.28125
1994-06-26,3.28125,3.34375,3.078125,3.109375
1994-07-03,3.109375,3.296875,3.0859375,3.1484375
1994-07-10,3.1484375,3.1875,2.984375,3.1015625
1994-07-17,3.1015625,3.1015625,2.9296875,3.21875
1994-07-24,3.21875,3.234375,2.953125,3.1640625
1994-07-31,3.1640625,3.2265625,3.078125,3.2265625
1994-08-07,3.2265625,3.4140625,3.21875,3.2734375
1994-08-14,3.2734375,3.5,3.25,3.46875
1994-08-21,3.46875,3.5234375,3.375,3.4375
1994-08-28,3.4375,3.609375,3.40625,3.5859375
1994-09-04,3.5859375,3.703125,3.484375,3.4921875
1994-09-11,3.4921875,3.625,3.48046875,3.5703125
1994-09-18,3.5703125,3.640625,3.4921875,3.5703125
1994-09-25,3.5703125,3.59375,3.4375,3.5
1994-10-02,3.5,3.59375,3.4296875,3.5078125
1994-10-09,3.5078125,3.5234375,3.3671875,3.3984375
1994-10-16,3.3984375,3.609375,3.3984375,3.5
1994-10-23,3.5,3.7421875,3.4375,3.71875
1994-10-30,3.71875,3.8984375,3.6484375,3.890625
1994-11-06,3.890625,4.0078125,3.83203125,3.84375
1994-11-13,3.84375,4.0390625,3.796875,3.921875
1994-11-20,3.921875,4.0703125,3.921875,4.03125
1994-11-27,4.03125,4.046875,3.81640625,3.90625
1994-12-04,3.90625,4.0234375,3.875,3.9609375
1994-12-11,3.9609375,4.015625,3.890625,3.9453125
1994-12-18,3.9453125,4.015625,3.8515625,3.9609375
1994-12-25,3.9609375,3.9765625,3.671875,3.8125
1995-01-01,3.8125,3.8671875,3.75,3.84375
1995-01-08,3.84375,3.84375,3.7109375,3.8046875
1995-01-15,3.8046875,3.9375,3.734375,3.953125
1995-01-22,3.953125,4.078125,3.828125,3.8125
1995-01-29,3.8125,3.9453125,3.734375,3.7578125
1995-02-05,3.7578125,3.796875,3.640625,3.7578125
1995-02-12,3.7578125,3.9140625,3.7578125,3.875
1995-02-19,3.875,3.921875,3.7265625,3.78125
1995-02-26,3.78125,3.8828125,3.71875,3.8359375
1995-03-05,3.8359375,4.0,3.8203125,3.953125
1995-03-12,3.953125,4.296875,3.9296875,4.2890625
1995-03-19,4.2890625,4.5,4.265625,4.3828125
1995-03-26,4.3828125,4.6328125,4.3671875,4.546875
1995-04-02,4.546875,4.625,4.3984375,4.4375
1995-04-09,4.4375,4.46875,4.296875,4.34375
1995-04-16,4.34375,4.578125,4.3359375,4.71875
1995-04-23,4.71875,4.8828125,4.625,4.7109375
1995-04-30,4.7109375,5.1328125,4.6953125,5.1171875
1995-05-07,5.1171875,5.234375,4.96875,4.9921875
1995-05-14,4.9921875,5.140625,4.9296875,5.0390625
1995-05-21,5.0390625,5.4296875,4.9921875,5.3359375
1995-05-28,5.3359375,5.59375,5.25,5.5
1995-06-04,5.5,5.5234375,5.0625,5.1640625
1995-06-11,5.1640625,5.375975,5.109375,5.2890625
1995-06-18,5.2890625,5.46875,5.171875,5.453125
1995-06-25,5.453125,5.7734375,5.4296875,5.6875
1995-07-02,5.6875,5.6953125,5.3046875,5.6796875
1995-07-09,5.6796875,5.9765625,5.6484375,6.0
1995-07-16,6.0,6.4765625,5.984375,6.734375
1995-07-23,6.734375,6.828125,5.53125,5.7890625
1995-07-30,5.7890625,6.15625,5.75,5.8203125
1995-08-06,5.8203125,5.8671875,5.46875,5.90625
1995-08-13,5.90625,6.1328125,5.734375,6.0546875
1995-08-20,6.0546875,6.296875,5.984375,6.09375
1995-08-27,6.09375,6.28125,5.8984375,5.8984375
1995-09-03,5.8984375,5.8984375,5.4375,5.6796875
1995-09-10,5.6796875,6.0390625,5.640625,5.9609375
1995-09-17,5.9609375,6.1171875,5.78125,5.828125
1995-09-24,5.828125,5.9140625,5.5625,5.65625
1995-10-01,5.65625,5.796875,5.3125,5.65625
1995-10-08,5.65625,5.6796875,5.3125,5.3046875
1995-10-15,5.3046875,5.546875,5.0234375,5.359375
1995-10-22,5.359375,6.15625,5.34375,5.9375
1995-10-29,5.9375,6.2587875,5.90625,6.203125
1995-11-05,6.203125,6.4609375,6.140625,6.0625
1995-11-12,6.0625,6.188475,5.8046875,6.0390625
1995-11-19,6.0390625,6.078125,5.4609375,5.5234375
1995-11-26,5.5234375,5.59375,5.265625,5.5390625
1995-12-03,5.5390625,5.78125,5.3671875,5.3828125
1995-12-10,5.3828125,5.9140625,5.3203125,5.90625
1995-12-17,5.90625,5.921875,5.453125,5.5234375
1995-12-24,5.5234375,5.7109375,5.3359375,5.640625
1995-12-31,5.640625,5.703125,5.390625,5.4921875
1996-01-07,5.4921875,5.6328125,5.3046875,5.40625
1996-01-14,5.40625,5.4765625,4.9921875,5.3671875
1996-01-21,5.3671875,5.828125,5.1171875,5.7265625
1996-01-28,5.7265625,5.796875,5.5625,5.671875
1996-02-04,5.671875,5.890625,5.5849625,5.796875
1996-02-11,5.796875,6.265625,5.796875,6.234375
1996-02-18,6.234375,6.3203125,6.09375,6.078125
1996-02-25,6.078125,6.4765625,6.0546875,6.4375
1996-03-03,6.4375,6.453125,5.9140625,6.0
1996-03-10,6.0,6.1796875,5.921875,5.9453125
1996-03-17,5.9453125,6.4453125,5.921875,6.3984375
1996-03-24,6.3984375,6.69140625,6.234375,6.34375
1996-03-31,6.34375,6.5078125,6.171875,6.4462875
1996-04-07,6.4462875,6.5703125,6.3828125,6.40625
1996-04-14,6.40625,6.5,6.2265625,6.3125
1996-04-21,6.3125,7.0078125,6.3125,6.90625
1996-04-28,6.90625,7.1171875,6.890625,7.0859375
1996-05-05,7.0859375,7.203125,6.8828125,6.9375
1996-05-12,6.9375,7.1962875,6.8515625,7.1875
1996-05-19,7.1875,7.5,7.1875,7.3359375
1996-05-26,7.3359375,7.4453125,7.1640625,7.421875
1996-06-02,7.421875,7.4609375,7.2890625,7.421875
1996-06-09,7.421875,7.6875,7.265625,7.5625
1996-06-16,7.5625,7.8671875,7.499025,7.6953125
1996-06-23,7.6953125,7.8125,7.4375,7.75
1996-06-30,7.75,7.8203125,7.4375,7.515625
1996-07-07,7.515625,7.6796875,7.3984375,7.40625
1996-07-14,7.40625,7.5859375,6.905275,7.0234375
1996-07-21,7.0234375,7.6015625,6.71875,7.563475
1996-07-28,7.563475,7.59375,6.84375,7.453125
1996-08-04,7.453125,7.7421875,7.2578125,7.71875
1996-08-11,7.71875,7.8671875,7.5546875,7.765625
1996-08-18,7.765625,7.8828125,7.7109375,7.7421875
1996-08-25,7.7421875,7.8203125,7.609375,7.7109375
1996-09-01,7.7109375,7.859375,7.65625,7.625
1996-09-08,7.625,7.7265625,7.5390625,7.65625
1996-09-15,7.65625,8.2109375,7.640625,8.1953125
1996-09-22,8.1953125,8.6640625,8.1875,8.6015625
1996-09-29,8.6015625,8.6484375,8.203125,8.34375
1996-10-06,8.34375,8.5390625,8.1796875,8.5234375
1996-10-13,8.5234375,8.6328125,8.328125,8.5859375
1996-10-20,8.5859375,8.6953125,8.34765625,8.421875
1996-10-27,8.421875,8.6171875,8.203125,8.54296875
1996-11-03,8.54296875,8.671875,8.4296875,8.578125
1996-11-10,8.578125,9.1328125,8.546875,8.9609375
1996-11-17,8.9609375,9.4296875,8.84375,9.3359375
1996-11-24,9.3359375,9.875,9.2890625,9.4453125
1996-12-01,9.4453125,9.8203125,9.40625,9.84375
1996-12-08,9.84375,9.96875,9.2666,9.796875
1996-12-15,9.796875,10.65625,9.75,10.03125
1996-12-22,10.03125,10.703125,9.546875,10.515625
1996-12-29,10.515625,10.765625,10.359375,10.671875
1997-01-05,10.671875,10.703125,10.09375,10.578125
