Date,Open,High,Low,Close
1994-03-06,785.62,793.6,771.88,790.55
1994-03-13,792.06,795.84,786.23,789.2
1994-03-20,790.02,804.53,789.16,803.93
1994-03-27,803.39,804.01,783.13,783.45
1994-04-03,784.21,784.79,731.74,743.46
1994-04-10,737.13,755.6,721.47,748.71
1994-04-17,748.38,749.5,721.31,727.97
1994-04-24,729.49,731.38,703.15,722.56
1994-05-01,723.65,736.25,722.56,733.84
1994-05-08,735.01,742.68,729.98,732.86
1994-05-15,731.73,732.89,713.0,716.92
1994-05-22,716.9,729.04,703.78,726.7
1994-05-29,727.25,735.23,722.93,733.14
1994-06-05,732.71,743.79,730.24,742.38
1994-06-12,743.0,744.97,727.09,734.25
1994-06-19,733.96,738.41,728.77,729.35
1994-06-26,726.45,729.35,693.09,693.79
1994-07-03,694.16,708.02,690.85,706.85
1994-07-10,706.73,709.42,699.37,707.46
1994-07-17,708.46,726.06,702.98,721.36
1994-07-24,722.3,723.17,710.47,716.68
1994-07-31,716.66,722.37,711.85,722.16
1994-08-07,722.84,728.21,715.77,718.67
1994-08-14,717.73,731.97,717.05,731.61
1994-08-21,732.11,744.73,730.25,742.43
1994-08-28,741.76,764.62,740.28,762.94
1994-09-04,763.44,767.67,757.43,759.23
1994-09-11,759.01,769.56,757.49,763.73
1994-09-18,763.56,779.73,758.99,777.91
1994-09-25,778.13,779.2,756.63,757.46
1994-10-02,756.95,765.3,752.35,764.29
1994-10-09,764.47,765.85,737.59,749.96
1994-10-16,751.33,774.91,749.96,767.08
1994-10-23,767.07,772.63,763.33,765.38
1994-10-30,766.22,776.26,754.17,776.15
1994-11-06,775.87,778.88,765.98,766.08
1994-11-13,766.22,774.61,761.32,762.12
1994-11-20,763.61,771.88,762.12,764.67
1994-11-27,767.03,768.3,728.72,742.52
1994-12-04,743.08,754.35,739.15,745.02
1994-12-11,745.53,747.82,710.87,719.05
1994-12-18,719.24,732.21,712.09,729.07
1994-12-25,728.75,743.36,726.15,742.19
1995-01-01,743.6,752.21,740.68,751.96
1995-01-08,751.31,751.96,740.44,749.69
1995-01-15,750.19,762.55,749.6,762.16
1995-01-22,762.3,774.35,759.18,762.05
1995-01-29,759.32,763.46,753.73,758.91
1995-02-05,759.63,773.99,750.91,772.06
1995-02-12,772.82,790.98,772.04,790.43
1995-02-19,789.7,796.24,786.66,786.97
1995-02-26,787.73,794.68,783.43,791.08
1995-03-05,789.55,798.98,783.68,798.79
